word,Overall,A,B,C,D,A_Per,B_Per,C_Per,D_Per,Include?
of,387,31,102,140,114,3.82%,3.15%,3.49%,3.18%,N
and,384,19,108,120,137,2.34%,3.34%,2.99%,3.82%,N
the,341,28,82,140,91,3.45%,2.53%,3.49%,2.54%,N
,282,0,0,0,0,0.00%,0.00%,0.00%,0.00%,N
to,256,24,77,87,68,2.96%,2.38%,2.17%,1.90%,N
in,174,9,51,56,58,1.11%,1.58%,1.40%,1.62%,N
ave,160,13,42,65,40,1.60%,1.30%,1.62%,1.12%,N
a,148,11,34,57,46,1.35%,1.05%,1.42%,1.28%,N
is,136,10,37,59,30,1.23%,1.14%,1.47%,0.84%,N
area,133,13,33,47,40,1.60%,1.02%,1.17%,1.12%,N
houses,131,7,40,44,40,0.86%,1.24%,1.10%,1.12%,N
apartments,127,11,45,57,14,1.35%,1.39%,1.42%,0.39%,N
per,127,6,28,55,38,0.74%,0.86%,1.37%,1.06%,N
are,120,7,38,43,32,0.86%,1.17%,1.07%,0.89%,N
for,115,8,34,47,26,0.99%,1.05%,1.17%,0.73%,N
business,115,13,26,28,48,1.60%,0.80%,0.70%,1.34%,Y
room,109,3,26,51,29,0.37%,0.80%,1.27%,0.81%,N
on,98,2,28,37,31,0.25%,0.86%,0.92%,0.86%,N
transportation,94,9,28,37,20,1.11%,0.86%,0.92%,0.56%,Y
new,83,9,32,27,15,1.11%,0.99%,0.67%,0.42%,N
this,80,3,28,30,19,0.37%,0.86%,0.75%,0.53%,N
with,76,6,16,26,28,0.74%,0.49%,0.65%,0.78%,N
good,75,5,24,34,12,0.62%,0.74%,0.85%,0.33%,Y
park,74,8,28,26,12,0.99%,0.86%,0.65%,0.33%,Y
city,72,11,18,13,30,1.35%,0.56%,0.32%,0.84%,N
all,70,12,23,10,25,1.48%,0.71%,0.25%,0.70%,N
old,67,2,11,21,33,0.25%,0.34%,0.52%,0.92%,Y
facilities,62,8,15,12,27,0.99%,0.46%,0.30%,0.75%,N
renting,60,0,15,29,16,0.00%,0.46%,0.72%,0.45%,N
construction,59,3,16,24,16,0.37%,0.49%,0.60%,0.45%,Y
streets,59,2,18,20,19,0.25%,0.56%,0.50%,0.53%,N
many,55,7,12,16,20,0.86%,0.37%,0.40%,0.56%,N
main,55,9,13,15,18,1.11%,0.40%,0.37%,0.50%,N
some,54,1,15,21,17,0.12%,0.46%,0.52%,0.47%,N
st,54,3,19,8,24,0.37%,0.59%,0.20%,0.67%,N
from,50,3,13,19,15,0.37%,0.40%,0.47%,0.42%,N
near,47,2,11,24,10,0.25%,0.34%,0.60%,0.28%,N
high,46,7,19,10,10,0.86%,0.59%,0.25%,0.28%,Y
poor,46,2,6,21,17,0.25%,0.19%,0.52%,0.47%,Y
brick,45,0,11,18,16,0.00%,0.34%,0.45%,0.45%,N
rent,44,1,9,21,13,0.12%,0.28%,0.52%,0.36%,Y
along,44,1,14,18,11,0.12%,0.43%,0.45%,0.31%,N
have,43,3,13,12,15,0.37%,0.40%,0.30%,0.42%,N
been,42,3,13,12,14,0.37%,0.40%,0.30%,0.39%,N
modern,42,0,13,16,13,0.00%,0.40%,0.40%,0.36%,Y
section,41,2,14,17,8,0.25%,0.43%,0.42%,0.22%,N
as,41,9,13,8,11,1.11%,0.40%,0.20%,0.31%,N
apartment,41,3,14,20,4,0.37%,0.43%,0.50%,0.11%,N
neighborhood,40,2,14,16,8,0.25%,0.43%,0.40%,0.22%,N
by,39,3,17,10,9,0.37%,0.53%,0.25%,0.25%,N
at,37,3,9,11,14,0.37%,0.28%,0.27%,0.39%,N
very,36,4,9,14,9,0.49%,0.28%,0.35%,0.25%,N
desirable,35,1,13,20,1,0.12%,0.40%,0.50%,0.03%,Y
etc,35,1,8,14,12,0.12%,0.25%,0.35%,0.33%,N
class,35,2,17,7,9,0.25%,0.53%,0.17%,0.25%,Y
residential,34,12,8,10,4,1.48%,0.25%,0.25%,0.11%,Y
type,34,2,10,13,9,0.25%,0.31%,0.32%,0.25%,N
has,33,3,9,14,7,0.37%,0.28%,0.35%,0.20%,N
elevator,33,1,16,14,2,0.12%,0.49%,0.35%,0.06%,Y
shopping,32,0,8,16,8,0.00%,0.25%,0.40%,0.22%,N
age,32,1,5,10,16,0.12%,0.15%,0.25%,0.45%,N
years,32,1,10,5,16,0.12%,0.31%,0.12%,0.45%,N
elevated,32,1,1,13,17,0.12%,0.03%,0.32%,0.47%,Y
small,31,2,14,8,7,0.25%,0.43%,0.20%,0.20%,Y
convenient,30,1,10,14,5,0.12%,0.31%,0.35%,0.14%,Y
private,30,8,14,8,0,0.99%,0.43%,0.20%,0.00%,Y
present,30,5,3,7,15,0.62%,0.09%,0.17%,0.42%,N
central,30,10,6,5,9,1.23%,0.19%,0.12%,0.25%,Y
large,29,3,11,6,9,0.37%,0.34%,0.15%,0.25%,N
homes,29,6,15,5,3,0.74%,0.46%,0.12%,0.08%,N
subway,29,2,7,18,2,0.25%,0.22%,0.45%,0.06%,Y
adjacent,29,1,9,11,8,0.12%,0.28%,0.27%,0.22%,N
or,29,1,9,5,14,0.12%,0.28%,0.12%,0.39%,N
up,28,3,5,6,14,0.37%,0.15%,0.15%,0.39%,N
substantial,28,1,10,10,7,0.12%,0.31%,0.25%,0.20%,N
center,27,2,6,14,5,0.25%,0.19%,0.35%,0.14%,N
grade,27,7,4,10,6,0.86%,0.12%,0.25%,0.17%,Y
zoning,27,3,7,5,12,0.37%,0.22%,0.12%,0.33%,Y
family,27,1,5,11,10,0.12%,0.15%,0.27%,0.28%,Y
york,26,5,9,10,2,0.62%,0.28%,0.25%,0.06%,N
north,26,0,10,12,4,0.00%,0.31%,0.30%,0.11%,N
aves,26,0,8,10,8,0.00%,0.25%,0.25%,0.22%,N
industry,26,0,4,6,16,0.00%,0.12%,0.15%,0.45%,Y
location,25,7,4,2,12,0.86%,0.12%,0.05%,0.33%,Y
there,25,6,4,8,7,0.74%,0.12%,0.20%,0.20%,N
low,25,1,2,8,14,0.12%,0.06%,0.20%,0.39%,Y
not,25,1,4,18,2,0.12%,0.12%,0.45%,0.06%,N
east,25,4,5,5,11,0.49%,0.15%,0.12%,0.31%,N
rooming,25,3,9,6,7,0.37%,0.28%,0.15%,0.20%,N
singles,25,0,16,6,3,0.00%,0.49%,0.15%,0.08%,N
rents,25,3,6,5,11,0.37%,0.19%,0.12%,0.31%,N
but,24,2,10,10,2,0.25%,0.31%,0.25%,0.06%,N
broadway,24,1,10,7,6,0.12%,0.31%,0.17%,0.17%,N
house,24,2,8,9,5,0.25%,0.25%,0.22%,0.14%,N
an,24,1,8,6,9,0.12%,0.25%,0.15%,0.25%,N
better,23,1,4,9,9,0.12%,0.12%,0.22%,0.25%,Y
properties,23,0,6,10,7,0.00%,0.19%,0.25%,0.20%,N
street,23,6,4,3,10,0.74%,0.12%,0.07%,0.28%,N
obsolescence,23,1,0,3,19,0.12%,0.00%,0.07%,0.53%,Y
south,23,0,9,10,4,0.00%,0.28%,0.25%,0.11%,N
avenue,23,0,0,2,21,0.00%,0.00%,0.05%,0.59%,N
structures,23,2,4,4,13,0.25%,0.12%,0.10%,0.36%,N
converted,23,1,9,6,7,0.12%,0.28%,0.15%,0.20%,N
buildings,23,1,5,9,8,0.12%,0.15%,0.22%,0.22%,N
well,22,2,14,5,1,0.25%,0.43%,0.12%,0.03%,N
which,22,3,8,6,5,0.37%,0.25%,0.15%,0.14%,N
part,22,2,6,8,6,0.25%,0.19%,0.20%,0.17%,N
number,22,2,5,7,8,0.25%,0.15%,0.17%,0.22%,N
none,22,7,8,0,7,0.86%,0.25%,0.00%,0.20%,Y
tenements,22,0,1,2,19,0.00%,0.03%,0.05%,0.53%,Y
it,21,3,4,9,5,0.37%,0.12%,0.22%,0.14%,N
most,21,0,10,4,7,0.00%,0.31%,0.10%,0.20%,N
one,21,3,10,5,3,0.37%,0.31%,0.12%,0.08%,N
units,21,0,6,5,10,0.00%,0.19%,0.12%,0.28%,N
walkup,21,1,6,9,5,0.12%,0.19%,0.22%,0.14%,Y
stores,21,0,4,11,6,0.00%,0.12%,0.27%,0.17%,N
parkway,20,1,7,10,2,0.12%,0.22%,0.25%,0.06%,N
about,20,0,6,5,9,0.00%,0.19%,0.12%,0.25%,N
schools,20,0,3,14,3,0.00%,0.09%,0.35%,0.08%,Y
areas,20,1,3,9,7,0.12%,0.09%,0.22%,0.20%,N
rentals,20,2,5,5,8,0.25%,0.15%,0.12%,0.22%,N
except,20,3,7,4,6,0.37%,0.22%,0.10%,0.17%,N
excellent,20,4,8,4,4,0.49%,0.25%,0.10%,0.11%,Y
frame,19,0,3,6,10,0.00%,0.09%,0.15%,0.28%,Y
walkups,19,0,8,10,1,0.00%,0.25%,0.25%,0.03%,Y
3rd,19,3,3,1,12,0.37%,0.09%,0.02%,0.33%,N
ocean,19,0,4,12,3,0.00%,0.12%,0.30%,0.08%,N
although,18,3,4,9,2,0.37%,0.12%,0.22%,0.06%,N
ground,18,0,3,12,3,0.00%,0.09%,0.30%,0.08%,N
district,18,0,5,6,7,0.00%,0.15%,0.15%,0.20%,N
cemetery,18,0,5,10,3,0.00%,0.15%,0.25%,0.08%,N
fairly,18,0,4,12,2,0.00%,0.12%,0.30%,0.06%,N
side,18,0,8,6,4,0.00%,0.25%,0.15%,0.11%,N
heavy,18,1,1,5,11,0.12%,0.03%,0.12%,0.31%,N
15,18,0,5,7,6,0.00%,0.15%,0.17%,0.17%,N
brackets,18,3,6,2,7,0.37%,0.19%,0.05%,0.20%,N
10,17,2,4,3,8,0.25%,0.12%,0.07%,0.22%,N
be,17,0,10,4,3,0.00%,0.31%,0.10%,0.08%,N
trend,17,3,8,5,1,0.37%,0.25%,0.12%,0.03%,N
island,17,0,3,11,3,0.00%,0.09%,0.27%,0.08%,N
35,17,0,3,8,6,0.00%,0.09%,0.20%,0.17%,N
home,16,1,7,6,2,0.12%,0.22%,0.15%,0.06%,N
now,16,2,6,6,2,0.25%,0.19%,0.15%,0.06%,N
because,16,1,2,11,2,0.12%,0.06%,0.27%,0.06%,N
located,16,0,5,10,1,0.00%,0.15%,0.25%,0.03%,N
centers,16,0,3,9,4,0.00%,0.09%,0.22%,0.11%,N
than,16,0,3,8,5,0.00%,0.09%,0.20%,0.14%,N
may,16,1,4,6,5,0.12%,0.12%,0.15%,0.14%,N
considerable,16,1,1,6,8,0.12%,0.03%,0.15%,0.22%,N
market,16,5,3,2,6,0.62%,0.09%,0.05%,0.17%,N
rms,16,1,5,9,1,0.12%,0.15%,0.22%,0.03%,N
mixed,16,0,1,5,10,0.00%,0.03%,0.12%,0.28%,Y
row,16,0,5,5,6,0.00%,0.15%,0.12%,0.17%,N
dwellings,16,1,4,4,7,0.12%,0.12%,0.10%,0.20%,N
distance,15,1,5,8,1,0.12%,0.15%,0.20%,0.03%,N
few,15,1,6,6,2,0.12%,0.19%,0.15%,0.06%,N
land,15,1,6,4,4,0.12%,0.19%,0.10%,0.11%,N
25,15,2,5,4,4,0.25%,0.15%,0.10%,0.11%,N
infiltration,15,0,2,6,7,0.00%,0.06%,0.15%,0.20%,R
west,15,0,4,5,6,0.00%,0.12%,0.12%,0.17%,N
single,15,1,4,4,6,0.12%,0.12%,0.10%,0.17%,N
more,15,1,3,6,5,0.12%,0.09%,0.15%,0.14%,N
building,15,0,3,5,7,0.00%,0.09%,0.12%,0.20%,N
medium,15,1,3,6,5,0.12%,0.09%,0.15%,0.14%,N
68,15,0,1,5,9,0.00%,0.03%,0.12%,0.25%,N
lower,15,0,0,5,10,0.00%,0.00%,0.12%,0.28%,Y
5,15,1,5,1,8,0.12%,0.15%,0.02%,0.22%,N
types,15,0,3,10,2,0.00%,0.09%,0.25%,0.06%,N
rooms,15,0,1,4,10,0.00%,0.03%,0.10%,0.28%,N
pride,15,0,6,5,4,0.00%,0.19%,0.12%,0.11%,Y
law,15,0,0,1,14,0.00%,0.00%,0.02%,0.39%,N
development,14,2,4,6,2,0.25%,0.12%,0.15%,0.06%,N
its,14,1,3,7,3,0.12%,0.09%,0.17%,0.08%,N
inconvenient,14,1,4,9,0,0.12%,0.12%,0.22%,0.00%,Y
20,14,0,7,4,3,0.00%,0.22%,0.10%,0.08%,N
no,14,4,4,4,2,0.49%,0.12%,0.10%,0.06%,N
average,14,0,3,9,2,0.00%,0.09%,0.22%,0.06%,N
traffic,14,1,8,4,1,0.12%,0.25%,0.10%,0.03%,N
population,14,0,0,5,9,0.00%,0.00%,0.12%,0.25%,N
drive,14,2,9,2,1,0.25%,0.28%,0.05%,0.03%,N
story,14,0,3,8,3,0.00%,0.09%,0.20%,0.08%,N
structure,14,0,0,7,7,0.00%,0.00%,0.17%,0.20%,N
residences,14,5,4,3,2,0.62%,0.12%,0.07%,0.06%,N
people,13,1,2,7,3,0.12%,0.06%,0.17%,0.08%,N
will,13,0,8,3,2,0.00%,0.25%,0.07%,0.06%,N
these,13,0,5,4,4,0.00%,0.15%,0.10%,0.11%,N
practically,13,8,2,1,2,0.99%,0.06%,0.02%,0.06%,N
month,13,3,1,2,7,0.37%,0.03%,0.05%,0.20%,N
highway,12,0,5,6,1,0.00%,0.15%,0.15%,0.03%,N
condition,12,0,3,5,4,0.00%,0.09%,0.12%,0.11%,N
encroachment,12,1,2,3,6,0.12%,0.06%,0.07%,0.17%,R
white,12,0,1,8,3,0.00%,0.03%,0.20%,0.08%,R
scattered,12,0,3,1,8,0.00%,0.09%,0.02%,0.22%,Y
30,12,0,4,2,6,0.00%,0.12%,0.05%,0.17%,N
such,12,4,5,3,0,0.49%,0.15%,0.07%,0.00%,N
nominal,12,1,4,4,3,0.12%,0.12%,0.10%,0.08%,Y
demand,12,1,6,3,2,0.12%,0.19%,0.07%,0.06%,N
conversion,12,1,2,7,2,0.12%,0.06%,0.17%,0.06%,N
still,12,2,5,4,1,0.25%,0.15%,0.10%,0.03%,N
between,12,1,2,3,6,0.12%,0.06%,0.07%,0.17%,N
rm,12,0,3,5,4,0.00%,0.09%,0.12%,0.11%,N
obsolete,12,0,5,2,5,0.00%,0.15%,0.05%,0.14%,N
close,12,1,3,3,5,0.12%,0.09%,0.07%,0.14%,N
ownership,12,0,6,4,2,0.00%,0.19%,0.10%,0.06%,N
46,12,0,1,6,5,0.00%,0.03%,0.15%,0.14%,N
mixture,12,0,1,8,3,0.00%,0.03%,0.20%,0.08%,Y
slum,12,1,1,0,10,0.12%,0.03%,0.00%,0.28%,Y
built,11,3,1,4,3,0.37%,0.03%,0.10%,0.08%,N
character,11,1,2,6,2,0.12%,0.06%,0.15%,0.06%,Y
first,11,2,5,3,1,0.25%,0.15%,0.07%,0.03%,N
bridge,11,0,3,3,5,0.00%,0.09%,0.07%,0.14%,N
multifamily,11,0,5,2,4,0.00%,0.15%,0.05%,0.11%,Y
twofamily,11,0,3,7,1,0.00%,0.09%,0.17%,0.03%,Y
several,11,0,4,3,4,0.00%,0.12%,0.07%,0.11%,N
poorer,11,1,5,4,1,0.12%,0.15%,0.10%,0.03%,Y
8th,11,0,3,3,5,0.00%,0.09%,0.07%,0.14%,N
primarily,11,1,2,7,1,0.12%,0.06%,0.17%,0.03%,N
being,11,0,2,7,2,0.00%,0.06%,0.17%,0.06%,N
fair,11,0,3,3,5,0.00%,0.09%,0.07%,0.14%,N
rr,11,0,0,8,3,0.00%,0.00%,0.20%,0.08%,N
experience,11,0,0,4,7,0.00%,0.00%,0.10%,0.20%,Y
lack,11,0,0,3,8,0.00%,0.00%,0.07%,0.22%,Y
property,11,1,3,5,2,0.12%,0.09%,0.12%,0.06%,N
families,11,0,4,4,3,0.00%,0.12%,0.10%,0.08%,N
northeast,11,0,6,4,1,0.00%,0.19%,0.10%,0.03%,N
older,11,1,6,4,0,0.12%,0.19%,0.10%,0.00%,N
unrestricted,11,0,0,1,10,0.00%,0.00%,0.02%,0.28%,Y
portion,10,4,3,2,1,0.49%,0.09%,0.05%,0.03%,N
only,10,2,2,3,3,0.25%,0.06%,0.07%,0.08%,N
newer,10,0,6,4,0,0.00%,0.19%,0.10%,0.00%,N
prices,10,0,5,2,3,0.00%,0.15%,0.05%,0.08%,N
quite,10,0,4,4,2,0.00%,0.12%,0.10%,0.06%,N
plains,10,0,1,8,1,0.00%,0.03%,0.20%,0.03%,N
particularly,10,1,4,2,3,0.12%,0.12%,0.05%,0.08%,N
end,10,0,5,3,2,0.00%,0.15%,0.07%,0.06%,N
1215,10,0,5,5,0,0.00%,0.15%,0.12%,0.00%,N
westchester,10,0,0,9,1,0.00%,0.00%,0.22%,0.03%,Y
long,10,0,1,5,4,0.00%,0.03%,0.12%,0.11%,N
under,10,0,1,4,5,0.00%,0.03%,0.10%,0.14%,N
water,10,0,0,4,6,0.00%,0.00%,0.10%,0.17%,Y
prospect,10,0,6,4,0,0.00%,0.19%,0.10%,0.00%,N
apts,10,0,4,6,0,0.00%,0.12%,0.15%,0.00%,N
3,10,0,1,3,6,0.00%,0.03%,0.07%,0.17%,N
settled,10,0,0,3,7,0.00%,0.00%,0.07%,0.20%,N
value,10,0,6,2,2,0.00%,0.19%,0.05%,0.06%,N
congestion,10,0,0,4,6,0.00%,0.00%,0.10%,0.17%,N
improvements,10,0,1,3,6,0.00%,0.03%,0.07%,0.17%,N
avenues,10,0,3,3,4,0.00%,0.09%,0.07%,0.11%,N
majority,10,1,0,2,7,0.12%,0.00%,0.05%,0.20%,N
riverside,10,1,7,2,0,0.12%,0.22%,0.05%,0.00%,N
columbus,10,0,2,4,4,0.00%,0.06%,0.10%,0.11%,N
cost,9,1,1,3,4,0.12%,0.03%,0.07%,0.11%,Y
so,9,4,1,3,1,0.49%,0.03%,0.07%,0.03%,N
use,9,0,5,1,3,0.00%,0.15%,0.02%,0.08%,N
recommended,9,0,1,5,3,0.00%,0.03%,0.12%,0.08%,N
bay,9,0,3,6,0,0.00%,0.09%,0.15%,0.00%,N
bronx,9,0,1,4,4,0.00%,0.03%,0.10%,0.11%,N
rd,9,1,4,4,0,0.12%,0.12%,0.10%,0.00%,N
principally,9,1,6,1,1,0.12%,0.19%,0.02%,0.03%,N
boarded,9,0,1,2,6,0.00%,0.03%,0.05%,0.17%,Y
races,9,0,1,1,7,0.00%,0.03%,0.02%,0.20%,R
neighborhoods,9,1,4,4,0,0.12%,0.12%,0.10%,0.00%,N
yrs,9,0,2,6,1,0.00%,0.06%,0.15%,0.03%,N
5th,9,0,6,2,1,0.00%,0.19%,0.05%,0.03%,N
50,9,0,1,2,6,0.00%,0.03%,0.05%,0.17%,N
1st,9,1,0,0,8,0.12%,0.00%,0.00%,0.22%,N
former,9,0,2,2,5,0.00%,0.06%,0.05%,0.14%,N
